t,energy,enstrophy
2.101387023925781250e+01,1.167866028845310211e-02,6.514231208711862564e-03
2.111139297485351562e+01,1.178216282278299332e-02,6.415413692593574524e-03
2.120891952514648438e+01,1.188051514327526093e-02,6.315349601209163666e-03
2.130644798278808594e+01,1.197745651006698608e-02,6.215982604771852493e-03
2.140397453308105469e+01,1.207393035292625427e-02,6.117794662714004517e-03
2.150149726867675781e+01,1.217450015246868134e-02,6.022851914167404175e-03
2.161525154113769531e+01,1.235461793839931488e-02,5.941295996308326721e-03
2.171277618408203125e+01,1.245059445500373840e-02,5.846596788614988327e-03
2.181030273437500000e+01,1.254498865455389023e-02,5.752643570303916931e-03
2.190782737731933594e+01,1.263869460672140121e-02,5.659840535372495651e-03
2.200535202026367188e+01,1.273202709853649139e-02,5.568325053900480270e-03
2.210287094116210938e+01,1.283596921712160110e-02,5.482397507876157761e-03
2.220038604736328125e+01,1.295152958482503891e-02,5.402151960879564285e-03
2.231414413452148438e+01,1.310472562909126282e-02,5.316688679158687592e-03
2.241166687011718750e+01,1.319517288357019424e-02,5.229363683611154556e-03
2.250918960571289062e+01,1.328472048044204712e-02,5.143157672137022018e-03
2.260670852661132812e+01,1.338107232004404068e-02,5.060764960944652557e-03
2.270422363281250000e+01,1.349270716309547424e-02,4.984902683645486832e-03
2.280173301696777344e+01,1.361129526048898697e-02,4.912432283163070679e-03
2.291549682617187500e+01,1.373925991356372833e-02,4.825727082788944244e-03
2.301301765441894531e+01,1.382421888411045074e-02,4.744720179587602615e-03
2.311053466796875000e+01,1.391657814383506775e-02,4.667441826313734055e-03
2.320804977416992188e+01,1.402537804096937180e-02,4.596466198563575745e-03
2.330555915832519531e+01,1.414238568395376205e-02,4.529003519564867020e-03
2.340306854248046875e+01,1.426370535045862198e-02,4.463746212422847748e-03
2.350057601928710938e+01,1.438757590949535370e-02,4.400107543915510178e-03
2.361435699462890625e+01,1.443921308964490891e-02,4.301101900637149811e-03
2.371186637878417969e+01,1.454685255885124207e-02,4.235432948917150497e-03
2.380937194824218750e+01,1.466292794793844223e-02,4.173026420176029205e-03
2.390687561035156250e+01,1.478393934667110443e-02,4.112812224775552750e-03
2.400437927246093750e+01,1.490377448499202728e-02,4.053138662129640579e-03
2.410188865661621094e+01,1.500346418470144272e-02,3.989277407526969910e-03
2.421566390991210938e+01,1.505570299923419952e-02,3.900489071384072304e-03
2.431316757202148438e+01,1.517186872661113739e-02,3.843137063086032867e-03
2.441066932678222656e+01,1.529313996434211731e-02,3.787815803661942482e-03
2.450817108154296875e+01,1.539934799075126648e-02,3.729829099029302597e-03
2.460567665100097656e+01,1.548806484788656235e-02,3.668841440230607986e-03
2.470318794250488281e+01,1.556504052132368088e-02,3.606342012062668800e-03
2.480069923400878906e+01,1.563383080065250397e-02,3.543237224221229553e-03
2.491444778442382812e+01,1.577762700617313385e-02,3.484422806650400162e-03
2.501195144653320312e+01,1.586846075952053070e-02,3.428119234740734100e-03
2.510946083068847656e+01,1.594573445618152618e-02,3.370056627318263054e-03
2.520697021484375000e+01,1.601451821625232697e-02,3.311382606625556946e-03
2.530447959899902344e+01,1.608646474778652191e-02,3.254419192671775818e-03
2.540198707580566406e+01,1.616591587662696838e-02,3.199921920895576477e-03
2.551572990417480469e+01,1.630545966327190399e-02,3.146179020404815674e-03
2.561323356628417969e+01,1.637981645762920380e-02,3.092665690928697586e-03
2.571073913574218750e+01,1.645604707300662994e-02,3.040453186258673668e-03
2.580824279785156250e+01,1.653455942869186401e-02,2.989567350596189499e-03
2.590574264526367188e+01,1.661821827292442322e-02,2.940451726317405701e-03
2.600324440002441406e+01,1.670155487954616547e-02,2.892126562073826790e-03
2.610074806213378906e+01,1.678452081978321075e-02,2.844570437446236610e-03
2.621449851989746094e+01,1.688885688781738281e-02,2.791308099403977394e-03
2.631200218200683594e+01,1.696023344993591309e-02,2.743673278018832207e-03
2.640950393676757812e+01,1.703238300979137421e-02,2.697008429095149040e-03
2.650700759887695312e+01,1.710638962686061859e-02,2.651449292898178101e-03
2.660450744628906250e+01,1.719141192734241486e-02,2.608293667435646057e-03
2.670200347900390625e+01,1.728358492255210876e-02,2.566875191405415535e-03
2.681575965881347656e+01,1.734767481684684753e-02,2.513343235477805138e-03
2.691326141357421875e+01,1.742332428693771362e-02,2.471214160323143005e-03
2.701075553894042969e+01,1.751062646508216858e-02,2.431364497169852257e-03
2.710824775695800781e+01,1.760315895080566406e-02,2.392844762653112411e-03
2.720574569702148438e+01,1.766751520335674286e-02,2.351321047171950340e-03
2.730324554443359375e+01,1.771805435419082642e-02,2.308805240318179131e-03
2.740074539184570312e+01,1.777083054184913635e-02,2.267360687255859375e-03
2.751448249816894531e+01,1.789215393364429474e-02,2.227141754701733589e-03
2.761198043823242188e+01,1.794916763901710510e-02,2.187691396102309227e-03
2.770948028564453125e+01,1.799711585044860840e-02,2.147913444787263870e-03
2.780697822570800781e+01,1.804001443088054657e-02,2.108311047777533531e-03
2.790447807312011719e+01,1.809240318834781647e-02,2.070507965981960297e-03
2.800197601318359375e+01,1.815503090620040894e-02,2.034503268077969551e-03
2.811570549011230469e+01,1.830212585628032684e-02,2.001105574890971184e-03
2.821320343017578125e+01,1.835092715919017792e-02,1.964867115020751953e-03
2.831070327758789062e+01,1.839397847652435303e-02,1.928714802488684654e-03
2.840820312500000000e+01,1.844491250813007355e-02,1.894022221677005291e-03
2.850570106506347656e+01,1.850539259612560272e-02,1.860888325609266758e-03
2.860319519042968750e+01,1.857466064393520355e-02,1.829170854762196541e-03
2.870068740844726562e+01,1.865202374756336212e-02,1.798742334358394146e-03
2.881443023681640625e+01,1.872188411653041840e-02,1.762012951076030731e-03
2.891192817687988281e+01,1.877221092581748962e-02,1.730275922454893589e-03
2.900942420959472656e+01,1.883147470653057098e-02,1.699892221949994564e-03
2.910691833496093750e+01,1.889882609248161316e-02,1.670729252509772778e-03
2.920441246032714844e+01,1.897362060844898224e-02,1.642680610530078411e-03
2.930190467834472656e+01,1.905502378940582275e-02,1.615631277672946453e-03
2.941565132141113281e+01,1.911326125264167786e-02,1.581675605848431587e-03
2.951314926147460938e+01,1.917028427124023438e-02,1.553693320602178574e-03
2.961064147949218750e+01,1.923486404120922089e-02,1.526779495179653168e-03
2.970813369750976562e+01,1.930624991655349731e-02,1.500833663158118725e-03
2.980562591552734375e+01,1.938376575708389282e-02,1.475764787755906582e-03
2.990311431884765625e+01,1.946089789271354675e-02,1.451068674214184284e-03
3.000060653686523438e+01,1.953001134097576141e-02,1.426202477887272835e-03
3.011435699462890625e+01,1.955549418926239014e-02,1.393912592902779579e-03
3.021184921264648438e+01,1.962477900087833405e-02,1.370019395835697651e-03
3.030933761596679688e+01,1.969952136278152466e-02,1.346880919300019741e-03
3.040682411193847656e+01,1.977431960403919220e-02,1.324118580669164658e-03
3.050431442260742188e+01,1.984161697328090668e-02,1.301247510127723217e-03
3.060180664062500000e+01,1.990218460559844971e-02,1.278338488191366196e-03
3.071555519104003906e+01,1.994429714977741241e-02,1.250375527888536453e-03
3.081304359436035156e+01,2.001647651195526123e-02,1.229028566740453243e-03
3.091053581237792969e+01,2.008720301091670990e-02,1.207944238558411598e-03
3.100802612304687500e+01,2.015101723372936249e-02,1.186810666695237160e-03
3.110551834106445312e+01,2.020861953496932983e-02,1.165685942396521568e-03
3.120301246643066406e+01,2.026082761585712433e-02,1.144630252383649349e-03
3.130050849914550781e+01,2.030815370380878448e-02,1.123682595789432526e-03
3.141424751281738281e+01,2.038862742483615875e-02,1.101032132282853127e-03
3.151173782348632812e+01,2.044805884361267090e-02,1.081475405953824520e-03
3.160923194885253906e+01,2.050196193158626556e-02,1.061975373886525631e-03
3.170672416687011719e+01,2.055099979043006897e-02,1.042576739564538002e-03
3.180421829223632812e+01,2.059716172516345978e-02,1.023383461870253086e-03
3.190171241760253906e+01,2.064812555909156799e-02,1.004758523777127266e-03
3.201544189453125000e+01,2.073588781058788300e-02,9.847393957898020744e-04
3.211293411254882812e+01,2.078501321375370026e-02,9.667068952694535255e-04
3.221042633056640625e+01,2.083049155771732330e-02,9.488334180787205696e-04
3.230791854858398438e+01,2.087961882352828979e-02,9.314368944615125656e-04
3.240540313720703125e+01,2.093354985117912292e-02,9.145506191998720169e-04
3.250289154052734375e+01,2.099168486893177032e-02,8.981318096630275249e-04
3.260037994384765625e+01,2.104990370571613312e-02,8.819983340799808502e-04
3.271412277221679688e+01,2.110457792878150940e-02,8.630038355477154255e-04
3.281161499023437500e+01,2.115687169134616852e-02,8.472470799461007118e-04
3.290910720825195312e+01,2.120884880423545837e-02,8.317551109939813614e-04
3.300659942626953125e+01,2.125963568687438965e-02,8.164916653186082840e-04
3.310409164428710938e+01,2.131027169525623322e-02,8.014923660084605217e-04
3.320158386230468750e+01,2.136414870619773865e-02,7.868733955547213554e-04
3.331532287597656250e+01,2.141603454947471619e-02,7.697615656070411205e-04
3.341281509399414062e+01,2.146401815116405487e-02,7.555003976449370384e-04
3.351030731201171875e+01,2.151586674153804779e-02,7.416221778839826584e-04
3.360779190063476562e+01,2.156907506287097931e-02,7.280338904820382595e-04
3.370528411865234375e+01,2.161781117320060730e-02,7.145428680814802647e-04
3.380277633666992188e+01,2.166217193007469177e-02,7.011567358858883381e-04
3.390026473999023438e+01,2.170342579483985901e-02,6.879193242639303207e-04
3.401400375366210938e+01,2.176439948379993439e-02,6.731643225066363811e-04
3.411149597167968750e+01,2.180647663772106171e-02,6.604634691029787064e-04
3.420898056030273438e+01,2.184709720313549042e-02,6.479541189037263393e-04
3.430647277832031250e+01,2.189150638878345490e-02,6.357810343615710735e-04
3.440395736694335938e+01,2.193921618163585663e-02,6.239201757125556469e-04
3.450144577026367188e+01,2.198468148708343506e-02,6.122140330262482166e-04
3.461518859863281250e+01,2.202981337904930115e-02,5.986196338199079037e-04
3.471266937255859375e+01,2.207550220191478729e-02,5.873808404430747032e-04
3.481016159057617188e+01,2.211705967783927917e-02,5.762439104728400707e-04
3.490764617919921875e+01,2.215492911636829376e-02,5.652223480865359306e-04
3.500513458251953125e+01,2.219404093921184540e-02,5.544367013499140739e-04
3.510262298583984375e+01,2.223644778132438660e-02,5.439295782707631588e-04
3.520010375976562500e+01,2.227874659001827240e-02,5.336141330190002918e-04
3.531383132934570312e+01,2.232131175696849823e-02,5.216684076003730297e-04
3.541131210327148438e+01,2.236087247729301453e-02,5.117055261507630348e-04
3.550879287719726562e+01,2.240074798464775085e-02,5.019354284740984440e-04
3.560627746582031250e+01,2.243966050446033478e-02,4.923276719637215137e-04
3.570376586914062500e+01,2.247519046068191528e-02,4.828301607631146908e-04
3.580124664306640625e+01,2.250938490033149719e-02,4.734855028800666332e-04
3.591497421264648438e+01,2.255313657224178314e-02,4.628833266906440258e-04
3.601245498657226562e+01,2.258645743131637573e-02,4.539007495623081923e-04
3.610993576049804688e+01,2.262249961495399475e-02,4.451406712178140879e-04
3.620741653442382812e+01,2.266020327806472778e-02,4.365773347672075033e-04
3.630489730834960938e+01,2.269520610570907593e-02,4.281266010366380215e-04
3.640237808227539062e+01,2.272714488208293915e-02,4.197822127025574446e-04
3.651610565185546875e+01,2.277003973722457886e-02,4.103463143110275269e-04
3.661358642578125000e+01,2.280174195766448975e-02,4.023386572953313589e-04
3.671106719970703125e+01,2.283306047320365906e-02,3.944782365579158068e-04
3.680854797363281250e+01,2.286676503717899323e-02,3.868075727950781584e-04
3.690602874755859375e+01,2.290160581469535828e-02,3.793014620896428823e-04
3.700350952148437500e+01,2.293409965932369232e-02,3.719020460266619921e-04
3.710099029541015625e+01,2.296403236687183380e-02,3.646053955890238285e-04
3.721471786499023438e+01,2.300209179520606995e-02,3.563171485438942909e-04
3.731219863891601562e+01,2.303234301507472992e-02,3.493259719107300043e-04
3.740967941284179688e+01,2.306093461811542511e-02,3.424461465328931808e-04
3.750716018676757812e+01,2.309113927185535431e-02,3.357220266479998827e-04
3.760464096069335938e+01,2.312328666448593140e-02,3.291542525403201580e-04
3.770212173461914062e+01,2.315540425479412079e-02,3.227122651878744364e-04
3.781584930419921875e+01,2.318761870265007019e-02,3.152846766170114279e-04
3.791333007812500000e+01,2.321937866508960724e-02,3.091050020884722471e-04
3.801081085205078125e+01,2.325020916759967804e-02,3.030324878636747599e-04
3.810829162597656250e+01,2.327905409038066864e-02,2.970531058963388205e-04
3.820577239990234375e+01,2.330595627427101135e-02,2.911664487328380346e-04
3.830325317382812500e+01,2.333281934261322021e-02,2.853939076885581017e-04
3.840073394775390625e+01,2.336129173636436462e-02,2.797523920889943838e-04
3.851446151733398438e+01,2.339528128504753113e-02,2.733175933826714754e-04
3.861194229125976562e+01,2.342149801552295685e-02,2.678859164007008076e-04
3.870942306518554688e+01,2.344905585050582886e-02,2.625746419653296471e-04
