t,energy
1.290048789978027344e+01,3.967777360230684280e-03
1.296554946899414062e+01,4.002120811492204666e-03
1.301432514190673828e+01,4.049318376928567886e-03
1.306314086914062500e+01,4.055735189467668533e-03
1.311191177368164062e+01,4.104565829038619995e-03
1.316072368621826172e+01,4.116708412766456604e-03
1.320950317382812500e+01,4.157249815762042999e-03
1.325830459594726562e+01,4.180593881756067276e-03
1.330709457397460938e+01,4.211036954075098038e-03
1.335588359832763672e+01,4.246236290782690048e-03
1.340468406677246094e+01,4.266242496669292450e-03
1.345346260070800781e+01,4.309310577809810638e-03
1.350226593017578125e+01,4.327940754592418671e-03
1.355104637145996094e+01,4.368125926703214645e-03
1.361610221862792969e+01,4.407801199704408646e-03
1.366489601135253906e+01,4.437746945768594742e-03
1.371368694305419922e+01,4.468568600714206696e-03
1.376247406005859375e+01,4.505759570747613907e-03
1.381127071380615234e+01,4.530895967036485672e-03
1.386005210876464844e+01,4.575231578201055527e-03
1.390885448455810547e+01,4.594902507960796356e-03
1.395763111114501953e+01,4.641762468963861465e-03
1.400643062591552734e+01,4.665252752602100372e-03
1.405521392822265625e+01,4.705258179455995560e-03
1.410400581359863281e+01,4.738641437143087387e-03
1.415279769897460938e+01,4.769744817167520523e-03
1.420158100128173828e+01,4.813753534108400345e-03
1.425038146972656250e+01,4.835620988160371780e-03
1.431543636322021484e+01,4.880326800048351288e-03
1.436420631408691406e+01,4.937646444886922836e-03
1.441301155090332031e+01,4.954443778842687607e-03
1.446178627014160156e+01,5.005076993256807327e-03
1.451058292388916016e+01,5.032713059335947037e-03
1.455936622619628906e+01,5.073016975075006485e-03
1.460815334320068359e+01,5.112879909574985504e-03
1.465694618225097656e+01,5.142163019627332687e-03
1.470572280883789062e+01,5.194689147174358368e-03
1.475452518463134766e+01,5.212590098381042480e-03
1.480329227447509766e+01,5.278135649859905243e-03
1.485210227966308594e+01,5.284469109028577805e-03
1.490086078643798828e+01,5.358714610338211060e-03
1.496590900421142578e+01,5.409989040344953537e-03
1.501471996307373047e+01,5.416873376816511154e-03
1.506348228454589844e+01,5.485055502504110336e-03
1.511228656768798828e+01,5.501097999513149261e-03
1.516105556488037109e+01,5.560829769819974899e-03
1.520985317230224609e+01,5.586999468505382538e-03
1.525862884521484375e+01,5.637838039547204971e-03
1.530741786956787109e+01,5.674391053617000580e-03
1.535620117187500000e+01,5.716118961572647095e-03
1.540498352050781250e+01,5.763226188719272614e-03
1.545377349853515625e+01,5.795684643089771271e-03
1.550254726409912109e+01,5.853509996086359024e-03
1.555134391784667969e+01,5.876500159502029419e-03
1.560011100769042969e+01,5.945223849266767502e-03
1.566515350341796875e+01,6.007154472172260284e-03
1.571396160125732422e+01,6.013952661305665970e-03
1.576271820068359375e+01,6.098545622080564499e-03
1.581153011322021484e+01,6.101218517869710922e-03
1.586028480529785156e+01,6.187064573168754578e-03
1.590909385681152344e+01,6.192627362906932831e-03
1.595785140991210938e+01,6.272668018937110901e-03
1.600665473937988281e+01,6.287430878728628159e-03
1.605541801452636719e+01,6.358788814395666122e-03
1.610421371459960938e+01,6.383826490491628647e-03
1.615298461914062500e+01,6.446004379540681839e-03
1.620177459716796875e+01,6.481606978923082352e-03
1.625055122375488281e+01,6.534351035952568054e-03
1.631559371948242188e+01,6.593881640583276749e-03
1.636437225341796875e+01,6.647568661719560623e-03
1.641316032409667969e+01,6.684107705950737000e-03
1.646193313598632812e+01,6.748036481440067291e-03
1.651072502136230469e+01,6.777241826057434082e-03
1.655949401855468750e+01,6.843527778983116150e-03
1.660828399658203125e+01,6.876579485833644867e-03
1.665705680847167969e+01,6.933364085853099823e-03
1.670583915710449219e+01,6.979453843086957932e-03
1.675461769104003906e+01,7.025483064353466034e-03
1.680339431762695312e+01,7.076389156281948090e-03
1.685217285156250000e+01,7.122958544641733170e-03
1.690094947814941406e+01,7.172582671046257019e-03
1.696598815917968750e+01,7.237095851451158524e-03
1.701476478576660156e+01,7.289249915629625320e-03
1.706354331970214844e+01,7.334616035223007202e-03
1.711231803894042969e+01,7.390710059553384781e-03
1.716109848022460938e+01,7.433068938553333282e-03
1.720987129211425781e+01,7.491724565625190735e-03
1.725865173339843750e+01,7.535227108746767044e-03
1.730742645263671875e+01,7.587892003357410431e-03
1.735620117187500000e+01,7.641612552106380463e-03
1.740498161315917969e+01,7.683790754526853561e-03
1.745375061035156250e+01,7.749564945697784424e-03
1.750253677368164062e+01,7.780388463288545609e-03
1.755130004882812500e+01,7.858698256313800812e-03
1.760009193420410156e+01,7.877811789512634277e-03
1.766512680053710938e+01,7.944434881210327148e-03
1.771388053894042969e+01,8.035983890295028687e-03
1.776267433166503906e+01,8.049403317272663116e-03
1.781142997741699219e+01,8.138188160955905914e-03
1.786022186279296875e+01,8.156393654644489288e-03
1.790898132324218750e+01,8.240191265940666199e-03
1.795776939392089844e+01,8.265694603323936462e-03
1.800653076171875000e+01,8.340195752680301666e-03
1.805531311035156250e+01,8.377269841730594635e-03
1.810408020019531250e+01,8.441908285021781921e-03
1.815286064147949219e+01,8.482717908918857574e-03
1.820162773132324219e+01,8.549417369067668915e-03
1.825040817260742188e+01,8.586340583860874176e-03
1.831543922424316406e+01,8.655569516122341156e-03
1.836420059204101562e+01,8.727756328880786896e-03
1.841297912597656250e+01,8.766446262598037720e-03
1.846174812316894531e+01,8.825382217764854431e-03
1.851051902770996094e+01,8.882340975105762482e-03
1.855929565429687500e+01,8.921961300075054169e-03
1.860805511474609375e+01,8.999928832054138184e-03
1.865684127807617188e+01,9.018790908157825470e-03
1.870559310913085938e+01,9.115152992308139801e-03
1.875438308715820312e+01,9.122327901422977448e-03
1.880313301086425781e+01,9.218006394803524017e-03
1.885192108154296875e+01,9.234180673956871033e-03
1.890067672729492188e+01,9.318304248154163361e-03
1.896570587158203125e+01,9.385138750076293945e-03
1.901448059082031250e+01,9.424909017980098724e-03
1.906324386596679688e+01,9.485709480941295624e-03
1.911201286315917969e+01,9.536908008158206940e-03
1.916078186035156250e+01,9.592062793672084808e-03
1.920955085754394531e+01,9.642739780247211456e-03
1.925831794738769531e+01,9.702463634312152863e-03
1.930708885192871094e+01,9.747808799147605896e-03
1.935585212707519531e+01,9.814149700105190277e-03
1.940462684631347656e+01,9.853236377239227295e-03
1.945338821411132812e+01,9.926645085215568542e-03
1.950216293334960938e+01,9.960260242223739624e-03
1.955092239379882812e+01,1.003242097795009613e-02
1.961594772338867188e+01,1.010019145905971527e-02
1.966471672058105469e+01,1.015245728194713593e-02
1.971348571777343750e+01,1.020108908414840698e-02
1.976224899291992188e+01,1.027058251202106476e-02
1.981102180480957031e+01,1.030202396214008331e-02
1.985977745056152344e+01,1.038973126560449600e-02
1.990855979919433594e+01,1.040318142622709274e-02
1.995730590820312500e+01,1.050611212849617004e-02
